s0001|白起者，郿人也。
s0087|其九月，秦復發兵，使五大夫王陵攻趙邯鄲。
s0088|是時武安君病，不任行。
s0089|四十九年正月，陵攻邯鄲，少利，秦益發兵佐陵。
s0090|陵兵亡五校。
s0091|武安君病愈，秦王欲使武安君代陵將。
s0092|武安君言曰：「邯鄲實未易攻也。
s0093|且諸侯救日至，彼諸侯怨秦之日久矣。
s0094|今秦雖破長平軍，而秦卒死者過半，國內空。
s0095|遠絕河山而爭人國都，趙應其內，諸侯攻其外，破秦軍必矣。
s0096|不可。」
s0097|秦王自命，不行；
s0098|乃使應侯請之，武安君終辭不肯行，遂稱病。
s0099|秦王使王龁代陵將，八九月圍邯鄲，不能拔。
s0100|楚使春申君及魏公子將兵數十萬攻秦軍，秦軍多失亡。
s0101|武安君言曰：「秦不聽臣計，今如何矣！」
s0102|秦王聞之，怒，彊起武安君，武安君遂稱病甐。
s0103|應侯請之，不起。
s0104|於是免武安君為士伍，遷之陰密。
s0105|武安君病，未能行。
s0106|居三月，諸侯攻秦軍急，秦軍數卻，使者日至。
s0107|秦王乃使人遣白起，不得留咸陽中。
s0108|武安君既行，出咸陽西門十里，至杜郵。
s0109|秦昭王與應侯群臣議曰：「白起之遷，其意尚怏怏不服，有餘言。」
s0110|秦王乃使使者賜之劍，自裁。
s0111|武安君引劍將自剄，曰：「我何罪于天而至此哉？」
s0112|良久，曰：「我固當死。
s0113|長平之戰，趙卒降者數十萬人，我詐而盡阬之，是足以死。」
s0114|遂自殺。
s0115|武安君之死也，以秦昭王五十年十一月。
s0116|死而非其罪，秦人憐之，鄉邑皆祭祀焉。
s0117|王翦者，頻陽東鄉人也。
s0118|少而好兵，事秦始皇。
s0119|始皇十一年，翦將攻趙閼與，破之，拔九城，十八年，翦將攻趙。
s0120|歲餘，遂拔趙，趙王降，盡定趙地為郡。
s0121|明年，燕使荊軻為賊於秦，秦王使王翦攻燕。
s0122|燕王喜走遼東，翦遂定燕薊而還。
s0123|秦使翦子王賁擊荊，荊兵敗。
s0124|還擊魏，魏王降，遂定魏地。
s0125|秦始皇既滅三晉，走燕王，而數破荊師。
s0126|秦將李信者，年少壯勇，嘗以兵數千逐燕太子丹至於衍水中，卒破得丹，始皇以為賢勇。
s0127|於是始皇問李信：「吾欲攻取荊，於將軍度用幾何人而足？」
s0128|李信曰：「不過用二十萬人。」
s0129|始皇問王翦，王翦曰：「非六十萬人不可。」
s0130|始皇曰：「王將軍老矣，何怯也！
s0131|李將軍果勢壯勇，其言是也。」
s0132|遂使李信及蒙恬將二十萬南伐荊。
s0133|王翦言不用，因謝病，歸老於頻陽。
s0134|李信攻平與，蒙恬攻寢，大破荊軍。
s0135|信又攻鄢郢，破之，於是引兵而西，與蒙恬會城父。
s0136|荊人因隨之，三日三夜不頓舍，大破李信軍，入兩壁，殺七都尉，秦軍走。
s0137|始皇聞之，大怒，自馳如頻陽，見謝王翦曰：「寡人以不用將軍計，李信果辱秦軍。
s0138|今聞荊兵日進而西，將軍雖病，獨忍棄寡人乎！」
s0139|王翦謝曰：「老臣罷病悖亂，唯大王更擇賢將。」
s0140|始皇謝曰：「已矣，將軍勿復言！」
s0141|王翦曰：「大王必不得已用臣，非六十萬人不可。」
s0142|始皇曰：「為聽將軍計耳。」
s0143|於是王翦將兵六十萬人，始皇自送至灞上。
s0144|王翦行，請美田宅園池甚眾。
s0145|始皇曰：「將軍行矣，何憂貧乎？」
s0146|王翦曰：「為大王將，有功終不得封侯，故及大王之向臣，臣亦及時以請園池為子孫業耳。」
s0147|始皇大笑。
s0148|王翦既至關，使使還請善田者五輩。
s0149|或曰：「將軍之乞貸，亦已甚矣。」
s0150|王翦曰：「不然。
s0151|夫秦王怚而不信人。
s0152|今空秦國甲士而專委於我，我不多請田宅為子孫業以自堅，顧令秦王坐而疑我邪？」
s0154|王翦果代李信擊荊。
s0155|荊聞王翦益軍而來，乃悉國中兵以拒秦。
s0156|王翦至，堅壁而守之，不肯戰。
s0157|荊兵數出挑戰，終不出。
s0158|王翦日休士洗沐，而善飲食撫循之，親與士卒同食。
s0159|久之，王翦使人問軍中戲乎？
s0160|對曰：「方投石超距。」
s0161|於是王翦曰：「士卒可用矣。」
s0162|荊數挑戰而秦不出，乃引而東。
s0163|翦因舉兵追之，令壯士擊，大破荊軍。
s0164|至蘄南，殺其將軍項燕，荊兵遂敗走。
s0165|秦因乘勝略定荊地城邑。
s0166|歲餘，虜荊王負芻，竟平荊地為郡縣。
s0167|因南征百越之君。
s0168|而王翦子王賁，與李信破定燕、齊地。
s0169|秦始皇二十六年，盡并天下，王氏、蒙氏功為多，名施於後世。
s0170|秦二世之時，王翦及其子賁皆已死，而又滅蒙氏。
s0171|陳勝之反秦，秦使王翦之孫王離擊趙，圍趙王及張耳鉅鹿城。
s0172|或曰：「王離，秦之名將也。
s0173|今將彊秦之兵，攻新造之趙，舉之必矣。」
s0174|客曰：「不然。
s0175|夫為將三世者必敗。
s0176|必敗者何也？
s0177|必其所殺伐多矣，其後受其不祥。
s0178|今王離已三世將矣。」
s0179|居無何，項羽救趙，擊秦軍，果虜王離，王離軍遂降諸侯。
s0180|太史公曰：鄙語云「尺有所短，寸有所長」。
s0181|白起料敵合變，出奇無窮，聲震天下，然不能救患於應侯。
s0182|王翦為秦將，夷六國，當是時，翦為宿將，始皇師之，然不能輔秦建德，固其根本，偷合取容，以至圽身。
s0183|及孫王離為項羽所虜，不亦宜乎！
s0184|彼各有所短也。
